programme,source_folder,total_major_units,requirement_structure,competency,status,curriculum_evidence,interpretation,source_pdf,limitations
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,ACT4141 Intro to Accounting Research 會計研究導論 3; ACT4312 Directed Research in Accounting I 會計學定向研究 I 3; ACT4313 Directed Research in Accounting II 會計學定向研究 II 2; ECO3211 Quantitative Methods for Policy,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,ACT3321 Textual Analysis for Accounting and,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Professional Accountancy,会计学,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3,The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_acct_2026-27_and_thereafter_1st2026_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MUS1150 Introduction to Music Literature I 音樂文獻概論 I 2; MUS1151 Introduction to Music Literature II 音樂文獻概論 II 2; MUS2700* Introduction to Music Therapy 音樂治療導論 2,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme_BA in Music Composition and Theory_2022–23 and 2023-24_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,MUS4112 A Survey of Contemporary Music 當代音樂概論 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme_BA in Music Composition and Theory_2022–23 and 2023-24_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations",Research and methodological ability,Core,MUS3901 Special Project I 特別專案 I 3; MUS3902 Special Project II 特別專案 II 3; MUS4901 Special Project III 特別專案 III 3; MUS4902 Special Project IV 特別專案 IV 3; MUS4903 Special Project V 特別專案 Ⅴ 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme_BA in Music Composition and Theory_2022–23 and 2023-24_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,MUS3113 Music in World Culture 世界文化中的音樂 3; MUS4113* Music in Popular Culture 流行文化中的音樂 3,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme_BA in Music Composition and Theory_2022–23 and 2023-24_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Supporting / Optional,MUS1110 Materials and Structure of Music I 音樂材料與結構 I 2; MUS3700* Music Management and Promotion 音樂管理與推廣 2,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme_BA in Music Composition and Theory_2022–23 and 2023-24_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Music Composition and Theory,作曲与作曲技术理论,70,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,MUS1001 Applied Music I 專業主修 I 2; MUS1002 Applied Music II 專業主修 II 2; MUS1007 Aural Practice and Perception I 聽音練習和感知 I 2; MUS3111 Advanced Harmonic Practice 高級和聲學 3; MUS1008 Aural Practice and Perception II 聽音練習和感知 II 2,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",Study Scheme_BA in Music Composition and Theory_2022–23 and 2023-24_Circular(AB2025_C066).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,Option C# CSC1001 Introduction to Computer Science:; CSC1003 Introduction to Computer Science; CHM3520 Introduction to Materials Science; CHM3540 Introduction to Functional Materials 功能材料導論 3; MSE3013 Principles of Chemical Engineering 化工原理 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - Chemistry_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,Option F# STA2001 Probability and Statistics Ⅰ 概率及統計（一） 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - Chemistry_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,Option F# STA2001 Probability and Statistics Ⅰ 概率及統計（一） 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - Chemistry_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Supporting / Optional,CSC1006 Artificial Intelligence for Science; CHM4342 AI for Chemistry 化學中的人工智能 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - Chemistry_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,CSC1002 Computational Laboratory 計算機實驗 1; CSC1004 Computational Laboratory Using; CHM2118 Analytical Chemistry Laboratory 分析化學實驗 2; CHM2228 Inorganic Chemistry Laboratory 無機化學實驗 2; CHM2338 Organic Chemistry Laboratory 有機化學實驗 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - Chemistry_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Chemistry,化学,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,Option H# CHM1001 General Chemistry 普通化學 3; Option I# CHM1011 Honours General Chemistry 普通化學榮譽課程 3; BIO2004 Biochemistry 生物化學 3; CHM2002 Physical Chemistry 物理化學 3; CHM2110 Analytical Chemistry 分析化學 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - Chemistry_2024-25 and thereafter_Circular (AB2025_C015).pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,MGT2020 Principles of Management 管理原理 3; BMA3301 Introduction to Business Intelligence; ECO3160 Game Theory and Business Strategy 博弈論與商業戰略 3; MGT4130 Organization Theory and Design 組織理論與設計 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Core,STA2001 Probability and Statistics I 概率及統計（一） 3; MAT1005 Mathematics for Business and; DMS3002 Applied Probability and Stochastic; MAT1001 Calculus I 微積分（一） 3; MGT3780 Quantitative strategic analysis 量化戰略分析 3,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Core,ECO2121 Introductory Statistics 統計學導論 3; STA2001 Probability and Statistics I 概率及統計（一） 3; ECO3121 Introductory Econometrics 計量經濟學導論 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Core,DMS3003 Data Analytics and Decision Making 數據分析和決策制定 3; MGT4080 People Analytics 人員分析學 3; MGT4187 Managerial Analytics 管理分析 3,"The programme includes data-centric, digital, analytics, or AI-related training.",study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations",Research and methodological ability,Supporting / Optional,MGT4188 Internship / Practicum / Research 實習/研究 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Supporting / Optional,MGT4030 Creating Presentation Self -Efficacy,"The curriculum cultivates academic, professional, or public communication abilities.",study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,ACT2111 Introductory Financial Accounting 財務會計導論 3; ACT4253 Business Ethics and Corporate Social; DMS2030 Operations Management 運營管理 3; ECO2011 Introductory Microeconomics 微觀經濟學導論 3; FIN2010 Financial Management 財務管理 3,The programme prepares students for specialized disciplinary or professional domains.,study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Global Business Studies,国际商务,60,"required courses, major electives, streams/specializations",Practical application and industry readiness,Core,DMS3002 Applied Probability and Stochastic; IDE2097 Entrepreneurship Practicum 創業實習（一） 3; MGT4020 Case Study 案例分析 3; MGT4188 Internship / Practicum / Research 實習/研究 3; MGT4189 Entrepreneurship Practicum 創業實習 3,"The curriculum includes applied, professional, practice-oriented, or workplace-facing training.",study_scheme_-_gbs_2026-27_and_thereafter_1st2027_260121.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
International Organizations and Global Governance,国际组织与全球治理,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science Research 社會科學研究導論 3; GLB2010 Introduction to Wo rld Politics 世界政治學概論 3,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme_ IOGG_ 2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
International Organizations and Global Governance,国际组织与全球治理,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,HSS1011 Introduction to Social Science Research 社會科學研究導論 3; GLB4030 Capstone Course I 全球治理專題研究（一） 3; GLB4040 Capstone Course II 全球治理專題研究（二） 3; GLB4160 Special Topics in Global Studies I 全球研究專題（一） 3; GLB4170 Special Topics in Global Studies II 全球研究專題（二） 3,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme_ IOGG_ 2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
International Organizations and Global Governance,国际组织与全球治理,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Supporting / Optional,HSS1004 Advanced Academic Writing 高級學術寫作 3,"The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme_ IOGG_ 2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
International Organizations and Global Governance,国际组织与全球治理,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,HSS1008 Principles of Economics 經濟學原理 3; GLB3030 Chinese Foreign Policy 中國外交政策 3; GLB3040 Global Governance and International Law 全球治理與國際法 3; GLB4020 International Public Policy Analysis 國際公共政策分析 3; GLB4030 Capstone Course I 全球治理專題研究（一） 3,The programme prepares students for specialized disciplinary or professional domains.,Study Scheme_ IOGG_ 2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations",Foundational disciplinary knowledge,Core,HSS1006 Introduction to Sociology 社會學導論 3; HSS1008 Principles of Economics 經濟學原理 3; HSS1010 Principles of Political Science 政治學原理 3; HSS1011 Introduction to Social Science; URM2040 Principles and Application of GIS in,Students are expected to build a structured foundation in the major's core concepts and disciplinary language.,Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations",Mathematical or quantitative reasoning,Supporting / Optional,URM3210 Quantitative Analysis for Social,"The curriculum expects students to handle mathematical, quantitative, or formal reasoning tasks.",Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations",Statistical reasoning and empirical analysis,Supporting / Optional,URM2030 Statistical Analysis and Application 統計分析及應用 3,"Students are expected to work with empirical evidence, statistical models, or quantitative inference.",Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations","Data, digital, and AI literacy",Supporting / Optional,URM4020 Urban Data and Informatics 城市數據與分析學 3,"The programme includes data-centric, digital, analytics, or AI-related training.",Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations",Research and methodological ability,Core,URM3020 Research Methods for Urban Studies 城市學研究方法 3; URM4040 Urban Management Capstone I 城市管理總結科目; URM4050 Urban Management Capstone II 城市管理總結科目,"Students are expected to conduct projects, apply methods, or synthesize knowledge independently.",Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations","Communication, writing, and presentation",Supporting / Optional,HSS1004 Advanced Academic Writing 高級學術寫作 3,"The curriculum cultivates academic, professional, or public communication abilities.",Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations","Language, textual, and cross-cultural competence",Supporting / Optional,URM3110 Urban History and Culture 城市歷史與文化學 3,"Students are expected to work with language, texts, translation, culture, or intercultural meaning.",Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
Urban Management,城市管理,72,"required courses, major electives, streams/specializations",Domain-specific professional knowledge,Core,"HSS1008 Principles of Economics 經濟學原理 3; URM2010 Cities, Society and Environment 城市、社會與環境 3; URM2020 Urban Economics 城市經濟學 3; URM3010 Urban Sustainability 城市可持續性 3; URM3020 Research Methods for Urban Studies 城市學研究方法 3",The programme prepares students for specialized disciplinary or professional domains.,Study Scheme - UM_2025-26 and thereafter_3rd(2025)_20250714.pdf,Based on study scheme requirements and course titles; course descriptions and learning outcomes are not included unless present in the PDF.
